timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1635453682380,0.05053711,-0.9661255,0.33099365,-0.515625,3.3125,-2.03125,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682438,0.07006836,-0.98321533,0.29656982,-0.0625,2.84375,-1.15625,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682475,0.07104492,-0.973938,0.3241577,-1.21875,1.46875,-1.1875,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682513,0.06347656,-0.9819946,0.30316162,1.71875,0.3125,-0.875,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682549,0.047851562,-0.97735596,0.30975342,3.484375,0.515625,-0.34375,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682587,0.08300781,-0.97125244,0.277771,4.875,-2.859375,-0.78125,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682625,0.13867188,-0.9246216,0.25750732,9.421875,-10.9375,-0.640625,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682662,0.16918945,-0.8538208,0.24066162,18.53125,-17.875,2.125,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682700,0.103027344,-0.82940674,0.28240967,20.90625,-18.421875,-0.09375,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682737,-0.023925781,-1.0713501,0.33294678,6.578125,-15.375,-4.28125,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682775,-0.1003418,-1.2417603,0.2699585,11.15625,-7.140625,-2.234375,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682832,-0.0146484375,-1.0686646,0.29901123,4.078125,3.421875,-2.78125,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682869,0.005126953,-0.9343872,0.35882568,-2.328125,6.25,-4.359375,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682906,-0.01977539,-0.9378052,0.3493042,-1.328125,5.1875,2.140625,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682944,0.1159668,-0.87457275,0.36566162,0.59375,1.015625,8.671875,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453682986,0.083984375,-0.8530884,0.39886475,2.703125,-0.53125,6.6875,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
1635453683028,0.045654297,-0.9089966,0.3456421,4.28125,-0.890625,7.125,Respeck,Descending stairs,13,s1724067,,Respeck_s1724067_Descending stairs_28-10-2021_21-41-29
