timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1635453105612,0.02368164,-1.0164185,0.08660889,1.828125,1.03125,0.4375,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105668,0.0021972656,-0.9871216,0.07757568,4.03125,1.390625,0.796875,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105706,0.030029297,-1.0200806,0.07244873,4.828125,3.15625,1.484375,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105744,0.044189453,-1.0357056,0.10345459,3.203125,1.96875,0.015625,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105781,-0.0012207031,-0.98809814,0.06976318,2.78125,0.640625,-0.25,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105818,-0.010498047,-0.9907837,0.057556152,3.671875,0.46875,1.25,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105857,0.020263672,-1.0393677,0.07196045,1.578125,1.765625,0.375,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105895,0.018798828,-1.0166626,0.07537842,1.375,0.78125,-0.5625,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105932,0.004638672,-0.97320557,0.031188965,5.265625,0.359375,1.1875,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453105970,0.10864258,-1.0252075,0.018737793,8.015625,-1.703125,4.703125,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106006,0.17260742,-0.99224854,0.031433105,3.265625,-7.03125,5.09375,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106062,0.1303711,-0.944397,0.098083496,2.40625,-13.328125,4.84375,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106099,0.06640625,-0.96099854,0.101501465,6.25,-20.359375,8.328125,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106139,-0.014160156,-1.0357056,0.20037842,-3.640625,-17.96875,-1.015625,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106175,-0.0925293,-1.1133423,0.101257324,8.015625,-17.359375,1.484375,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106212,-0.044189453,-1.1201782,0.03729248,3.3125,-6.71875,8.546875,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106251,0.024169922,-1.0300903,0.11248779,-2.59375,-1.53125,3.078125,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106287,-0.04663086,-1.0193481,0.10321045,-4.359375,3.171875,2.71875,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106325,-0.024902344,-0.90216064,0.11541748,-2.484375,1.953125,9.828125,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106362,0.00390625,-0.9434204,0.14642334,-3.0625,2.4375,7.515625,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
1635453106400,0.06567383,-1.0413208,0.1473999,-5.4375,2.375,7.90625,Respeck,Climbing stairs,12,s1788488,,Respeck_s1788488_Climbing stairs_28-10-2021_21-31-53
