timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1635460046692,-0.18066406,-0.9976196,0.15570068,2.359375,-1.03125,2.265625,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460046731,-0.17089844,-0.99786377,0.16912842,2.859375,-2.296875,2.53125,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460046787,-0.18237305,-0.99053955,0.17279053,3.34375,-3.75,2.265625,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460046824,-0.17163086,-0.9805298,0.16156006,3.875,-4.71875,1.75,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460046863,-0.1640625,-0.98394775,0.16668701,3.984375,-6.625,1.328125,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460046901,-0.15844727,-1.0020142,0.16400146,3.828125,-7.671875,1.28125,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460046938,-0.14697266,-0.99713135,0.1618042,2.65625,-10.21875,0.96875,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460046975,-0.13671875,-0.99468994,0.13616943,2.484375,-12.65625,0.515625,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460047032,-0.14160156,-0.9859009,0.09588623,2.421875,-14.109375,0.703125,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
1635460047051,-0.17089844,-0.91900635,0.057800293,3.421875,-15.921875,3.015625,Respeck,Walking at normal speed,1,s2106215,,Respeck_s2106215_Walking at normal speed_28-10-2021_23-27-43
