# Sensor type: Respeck
# Activity type: Climbing stairs
# Activity code: 12
# Subject id: s2251802
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1635457487768,0.12597656,-0.99053955,0.11004639,0.65625,3.140625,-1.609375
1635457487806,0.1262207,-0.97784424,0.09490967,-0.21875,1.609375,-1.328125
1635457487844,0.10180664,-1.0186157,0.11077881,0.6875,1.3125,-0.15625
1635457487881,0.11230469,-0.9846802,0.10882568,1.734375,0.671875,0.296875
1635457487918,0.111328125,-0.9854126,0.105651855,1.125,2.0625,-0.890625
1635457487975,0.08325195,-1.0056763,0.11981201,2.0625,0.671875,0.046875
1635457487995,0.087402344,-0.9834595,0.121520996,1.46875,1.671875,0.0625
1635457488088,0.06518555,-0.9885864,0.11810303,2.484375,3.0625,-0.46875
1635457488091,0.07446289,-0.9846802,0.1149292,4.609375,2.8125,0.15625
1635457488126,0.08203125,-1.0071411,0.089538574,5.75,3.171875,0.09375
1635457488163,0.07080078,-1.0022583,0.09490967,4.765625,3.46875,1.09375
1635457488200,0.056640625,-1.0007935,0.08831787,8.5,4.078125,1.625
1635457488240,0.099853516,-0.9993286,0.0602417,5.4375,6.078125,2.21875
1635457488277,0.16015625,-0.99420166,0.048034668,10.078125,5.0625,2.421875
1635457488312,0.2290039,-0.9126587,0.030944824,10.21875,2.6875,6.328125
1635457488350,0.17358398,-0.9282837,0.026062012,10.390625,0.4375,3.9375
1635457488388,0.1772461,-1.0239868,-0.0037231445,24.0625,-7.53125,7.21875
1635457488444,0.33789062,-0.972229,0.010925293,24.171875,-10.765625,16.6875
1635457488481,0.26757812,-0.83013916,0.05682373,6.140625,-19.84375,12.9375
1635457488519,0.15405273,-1.1213989,0.16107178,15.796875,-13.25,6.484375
1635457488556,0.11743164,-1.2564087,0.14154053,17.328125,-9.0,11.40625
1635457488594,0.23046875,-0.9180298,0.013122559,21.359375,-7.3125,14.859375
1635457488631,0.34448242,-0.8755493,0.030456543,19.4375,-1.453125,13.28125
1635457488669,0.26464844,-0.9282837,-0.0015258789,3.90625,-9.234375,11.859375
1635457488705,0.096191406,-0.9468384,0.04046631,12.6875,-0.375,8.53125
1635457488745,0.25390625,-0.9307251,0.04144287,14.625,4.890625,8.578125
1635457488781,0.3383789,-0.90802,0.050720215,8.015625,7.234375,5.140625
1635457488820,0.2553711,-0.9993286,0.06390381,4.546875,2.15625,-1.609375
1635457488875,0.18383789,-0.987854,0.070007324,11.203125,3.546875,-1.9375
1635457488913,0.40014648,-0.9480591,-0.101379395,33.5625,-0.40625,4.734375
1635457488950,0.50805664,-1.2341919,-0.26397705,25.96875,-7.421875,16.25
1635457488988,0.52075195,-1.166565,-0.32037354,13.40625,-2.453125,3.953125
1635457489025,0.4699707,-1.1177368,-0.34039307,2.78125,13.421875,-5.5625
1635457489066,0.43725586,-1.0217896,-0.36627197,13.375,4.265625,-0.1875
1635457489119,0.35131836,-0.9690552,-0.45196533,3.453125,8.796875,-5.5625
1635457489141,0.40576172,-0.93096924,-0.3850708,-2.203125,9.34375,-13.40625
1635457489194,0.32470703,-0.8545532,-0.32525635,-6.015625,7.53125,-7.34375
1635457489213,0.27929688,-0.92022705,-0.29205322,-5.4375,0.15625,-9.59375
1635457489269,0.20825195,-0.89678955,-0.25054932,-11.375,5.71875,-9.34375
1635457489306,0.13769531,-0.78863525,-0.21368408,-11.625,11.328125,-8.046875
1635457489345,0.16552734,-0.7678833,-0.1873169,-7.265625,15.0,-5.25
1635457489381,0.21044922,-0.69537354,-0.15240479,-6.375,9.765625,-1.765625
1635457489419,0.15991211,-0.6904907,-0.15435791,-0.359375,9.765625,-1.375
1635457489457,0.18017578,-0.7954712,-0.17437744,6.359375,3.25,1.703125
1635457489494,0.22998047,-0.7581177,-0.13287354,2.140625,-2.75,3.390625
1635457489531,0.1538086,-0.90802,-0.10015869,2.15625,-4.96875,5.046875
1635457489569,0.0859375,-1.1870728,-0.11798096,3.890625,-8.546875,1.0
1635457489607,0.26708984,-1.3460083,-0.035461426,-7.375,1.640625,-1.03125
1635457489665,0.22387695,-1.2105103,-0.10211182,-25.25,-0.859375,-1.875
1635457489699,0.4584961,-1.3069458,-0.2642212,-14.609375,0.296875,3.671875
1635457489737,0.6816406,-1.367981,-0.18878174,-23.96875,-27.453125,-1.15625
1635457489775,0.27661133,-0.7432251,-0.13848877,-20.578125,1.375,-1.96875
1635457489814,0.40112305,-1.0308228,-0.23614502,3.171875,-17.6875,12.9375
1635457489850,0.42529297,-0.94976807,0.0602417,-8.59375,-10.546875,-0.515625
1635457489887,0.15161133,-0.78497314,0.0072631836,3.015625,4.15625,3.859375
1635457489925,0.14282227,-0.6331177,-0.082092285,8.578125,-3.15625,9.5
1635457489965,0.35839844,-0.5679321,4.272461E-4,9.0625,-1.25,8.78125
1635457490000,0.28320312,-0.6489868,0.024108887,1.40625,-5.859375,9.890625
1635457490038,0.14526367,-0.71051025,0.010437012,8.234375,-6.125,5.8125
1635457490094,0.28881836,-0.8081665,0.0036010742,11.203125,-6.21875,7.875
1635457490151,0.43066406,-0.99346924,0.11541748,8.0625,-3.59375,-1.140625
1635457490169,0.33544922,-1.1939087,0.097839355,0.921875,-10.328125,-6.265625
